qdate,hl_ssm,tenor_bucket
2011-07-18,8.496901467501038,2
2011-07-19,8.587364672225831,2
2011-07-20,8.989007227742738,2
2011-07-21,8.829890068766113,2
2011-07-22,8.682130850893504,2
2011-07-25,8.830640491525756,2
2011-07-26,8.835696504714544,2
2011-07-27,8.74594866162181,2
2011-07-28,8.824548858507026,2
2011-07-29,9.059058260550302,2
2011-08-01,9.502678491221024,2
2011-08-02,9.861395525893014,2
2011-08-03,10.626397683024638,2
2011-08-04,11.225022085696953,2
2011-08-05,12.942878647208135,2
2011-08-08,15.742575536575927,2
2011-08-09,22.64054131081562,2
2011-08-10,19.09992317772109,2
2011-08-11,15.931691898483331,2
2011-08-12,16.685250769181017,2
2011-08-15,15.336205994508768,2
2011-08-16,11.375912276439495,2
2011-08-17,11.292814608431453,2
2011-08-18,10.892834942553396,2
2011-08-19,10.810131276779279,2
2011-08-22,9.862021039536508,2
2011-08-23,11.820338705961005,2
2011-08-24,12.174149632350634,2
2011-08-25,12.241981667061433,2
2011-08-26,12.159632590460077,2
2011-08-29,12.53485344357779,2
2011-08-30,12.787557731666505,2
2011-08-31,14.980429501599538,2
2011-09-01,15.322619831913542,2
2011-09-02,13.60728061726198,2
2011-09-06,13.776587462903546,2
2011-09-07,14.132998919572879,2
2011-09-08,13.563548397194072,2
2011-09-09,14.598114633500336,2
2011-09-12,14.173225669639214,2
2011-09-13,13.868600100727868,2
2011-09-14,13.689067701985481,2
2011-09-15,13.632429183191906,2
2011-09-16,14.414206443672525,2
2011-09-19,14.495172005203822,2
2011-09-20,14.247590852947354,2
2011-09-21,14.142689377258272,2
2011-09-22,14.3694926129744,2
2011-09-23,14.817526522428125,2
2011-09-26,16.497806069965357,2
2011-09-27,16.56436582161168,2
2011-09-28,16.025559774294138,2
2011-09-29,15.921194574781563,2
2011-09-30,13.373381192911673,2
2011-10-03,13.711475820115153,2
2011-10-04,13.932924842938608,2
2011-10-05,14.940559328464746,2
2011-10-06,17.767005803701636,2
2011-10-07,21.123388478988648,2
2011-10-11,19.830393663416714,2
2011-10-12,17.951276074287836,2
2011-10-13,19.0538937698642,2
2011-10-14,21.32892804107036,2
2011-10-17,24.640897644698796,2
2011-10-18,21.432065900530777,2
2011-10-19,17.539099628427515,2
