qdate,tenor_bucket,smoothed_level,filtered_level,smoothed_ar.L1,filtered_ar.L1,phi,sigma2_level,loglike
2018-09-24,5,23.66345692250133,23.53577009733625,1.0443622285820535e-10,1.3261969848916364e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-09-25,5,23.856773632828627,23.652786363017174,3.0080245514188325e-10,1.5709473783390322e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-09-26,5,24.165608533597485,24.25541219274362,7.04277806033636e-10,4.3168527656095354e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-09-27,5,24.029646597838962,23.967499166384833,5.173945038498284e-10,1.5735873857122314e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-09-28,5,24.123737253232452,24.03675789694008,7.338865393024497e-10,1.4956817948094436e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-01,5,24.255423220844335,24.440305174252156,1.0885022125886355e-09,3.209141887250702e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-02,5,23.975513599259862,24.330387384783645,9.453958610707512e-10,1.7208810747862366e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-03,5,23.43823786547185,23.8358571283088,5.205108009743119e-10,-1.3827157204143232e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-04,5,22.836245861504327,23.183220895711607,5.621557643628828e-11,-4.4464909507518116e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-05,5,22.31092876615942,22.433160462792397,-2.86561733514335e-10,-7.160509564962285e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-09,5,22.125871072112393,22.30369058700767,-1.4968495296249517e-10,-5.823177026371559e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-10,5,21.856653918791995,22.429786244733048,-1.5597129052978834e-10,-3.5109103971940333e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-11,5,20.988936707727028,20.90643215757291,-1.079338425425387e-09,-1.0582174798663947e-09,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-12,5,21.113847858127496,21.30805812308217,-6.304862272901563e-10,-5.467292208658962e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-15,5,20.81981525527342,20.79623572719535,-8.815487213006311e-10,-6.631995469688438e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-16,5,20.855514449442467,20.87843069309921,-7.349441291477421e-10,-4.3236271053540017e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-17,5,20.820819461285506,20.634740434064703,-7.758879771580251e-10,-4.3921777528389637e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-18,5,21.102541442457532,20.797374947292784,-4.274320422752992e-10,-2.290723754687862e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-19,5,21.56456078431015,21.450765942089603,1.4453950567218916e-10,1.814670551225887e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-22,5,21.73684515679671,21.84774679706015,2.970189460553459e-10,3.403271457136693e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-23,5,21.568941066073513,21.358062304303743,-2.8886266513708157e-11,-1.4989633078574823e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-24,5,21.88820962377978,21.948971550822318,3.743729786925547e-10,3.0200751872647934e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-25,5,21.796216610215385,21.855045424770797,2.010034528878747e-10,1.6698618859149828e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-26,5,21.707150311604096,21.593195974375277,5.43846552904721e-11,-1.8776459561989316e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-29,5,21.879676158245996,22.0520613965599,3.070700326111035e-10,2.2940070666672508e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-30,5,21.618686450574167,21.539251995615796,-5.7812103527907505e-11,-1.0682286222532649e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-10-31,5,21.738949504418468,21.811757056755393,1.4402223919337533e-10,6.758557325922148e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-01,5,21.62871952198507,21.572021014642534,1.536654242208579e-11,-7.83952819059008e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-02,5,21.714560554707685,21.65491755192908,1.831770862459196e-10,-1.2374818391352377e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-05,5,21.80485952729394,21.89552838273917,3.7805805164795475e-10,1.1847385713962103e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-06,5,21.667587692066434,21.805298280230353,2.728660564072215e-10,3.725094053789027e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-07,5,21.459095094547195,21.723573396260512,9.09482728960161e-11,-1.6527472401100575e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-08,5,21.05867731326027,21.057010746767716,-3.693813833657266e-10,-3.6466477512889194e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-09,5,21.061200480006388,20.900103778383066,-2.650357840219207e-10,-3.4470861529618957e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-13,5,21.30509944437417,21.297699957625174,1.7270381589226755e-10,-3.689575387839495e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-14,5,21.316302201346097,21.401351017948873,2.7983060899518554e-10,2.8387663458361376e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-15,5,21.187539054610195,21.338509307034375,2.076600899943862e-10,-1.2892471354465386e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-16,5,20.95897144407018,21.08735541080239,8.542629583088804e-12,-1.421843319353314e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-19,5,20.764599267806766,20.90608026488207,-1.3821823659220363e-10,-1.979693427736173e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-20,5,20.550398304720577,20.69557728277646,-3.3015755415346904e-10,-2.534669851075629e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-21,5,20.33059863135667,20.359212441346703,-5.67226000078364e-10,-3.5990597164518385e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-23,5,20.287277578892105,20.230285573554816,-6.020642829597822e-10,-3.264843933693066e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-26,5,20.373562964480396,20.515131561079478,-5.090102049814685e-10,-8.34969544100641e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-27,5,20.159229375880145,20.096580424558056,-9.2448303440904e-10,-2.814472930860323e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-28,5,20.254079326584712,19.950679576480187,-9.779535456861696e-10,-2.7917185467789486e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-29,5,20.71342383159195,20.4122997907416,-5.922173059600367e-10,4.40164168084871e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-11-30,5,21.16932293323825,20.857853537173636,-2.7751326562426315e-10,2.6741093567692304e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-12-03,5,21.640884810193214,21.008673276808416,2.9878371721279575e-11,2.717038264365717e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-12-04,5,22.598047412444934,22.260358005360803,1.0706058278460987e-09,8.574622995202154e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-12-06,5,23.109306152352946,22.849651403077733,1.5600449475143908e-09,9.271656118403188e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-12-07,5,23.50242111936929,23.826320913658197,2.045348171110376e-09,1.1822148403436694e-09,0.717533338305684,1.033455920047352,-7113.207589911158
2018-12-10,5,23.01203973117442,23.183271911366788,1.4299095996648057e-09,5.079183654837498e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-12-11,5,22.752795744254765,22.84923533961378,1.3209459326313039e-09,1.8764573341584857e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-12-12,5,22.606787061567037,23.341263704262367,1.5290961531582418e-09,3.950683664051975e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-12-13,5,21.49479600034208,22.04140717350613,4.5509607036385936e-10,-4.0452793440072786e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-12-14,5,20.667231578036045,21.018453621445115,-1.4071449057000558e-10,-8.317026200360886e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-12-17,5,20.135484549017587,20.410796359629423,-3.0746379744558925e-10,-9.184020151893582e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-12-18,5,19.71866493287244,19.980007746254874,-3.356294059482077e-10,-8.869966976554013e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-12-19,5,19.32299425341881,19.768765604905273,-3.693223228667774e-10,-7.482583137430911e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-12-20,5,18.648100417892678,18.705819358486856,-8.638445523180139e-10,-1.0995084088738042e-09,0.717533338305684,1.033455920047352,-7113.207589911158
2018-12-21,5,18.56071445878139,18.828353972123807,-5.712110541649283e-10,-7.240774431013482e-10,0.717533338305684,1.033455920047352,-7113.207589911158
