# Dates where smoothed structural mean exhibits jump greater than 2x rolling 3m std
tenor,date,mu_jump_bp
5,2017-01-19,17.84171540616603
5,2017-01-24,15.52283071778995
5,2017-02-09,12.023162443575911
5,2017-04-11,14.24658429446503
5,2017-04-14,16.25654730910599
5,2017-05-18,14.662074921479173
5,2017-05-19,15.561689974755533
5,2017-05-30,17.415600607489022
5,2017-06-14,15.556762853127454
5,2017-06-26,17.62107996931679
5,2017-09-21,24.50485968560189
5,2017-10-12,22.305783410781704
5,2017-10-13,21.53839149600349
5,2017-10-23,22.18122749728467
5,2017-10-26,21.476183750968115
5,2017-11-17,17.53011634428387
5,2018-01-12,13.204045733182369
5,2018-01-26,12.946973811866753
5,2018-01-29,12.13521810123034
5,2018-01-30,11.233057822207998
5,2018-02-14,10.001753962344578
5,2018-03-01,8.423159103033603
5,2018-03-16,9.136516085552193
5,2018-03-28,8.09290638789871
5,2018-05-03,9.756085844980923
5,2018-05-04,10.498243063604821
5,2018-05-18,11.468184095699915
5,2018-05-22,12.740516931745901
5,2018-05-23,13.685025304810978
5,2018-05-28,15.4917651798456
5,2018-05-29,16.584675104060764
5,2018-10-03,23.441733402331025
5,2018-10-04,22.839946391307024
5,2018-10-11,20.97269700023441
5,2018-12-04,22.553594075367315
5,2018-12-13,21.49573194102772
5,2018-12-14,20.66448720889824
5,2019-01-18,15.159144167621111
5,2019-01-31,15.413647109721131
5,2019-02-12,11.571207679808762
5,2019-02-15,9.172937437605977
5,2019-02-21,6.255652722042419
5,2019-03-28,8.740951414070368
5,2019-05-22,16.142915360254857
5,2019-05-23,16.86131730080288
5,2019-06-18,17.1253849615751
5,2019-06-19,18.409298656605184
5,2019-06-20,19.45334867723989
5,2019-07-18,22.472939555541743
5,2019-11-13,23.87447143980604
5,2019-12-20,19.353256074600324
5,2019-12-30,17.659127877979152
5,2020-01-22,12.827529095790918
5,2020-01-23,12.097893294249165
5,2020-01-24,11.070046761654453
5,2020-01-31,9.066812667519125
5,2020-02-24,5.990887789596142
5,2020-02-28,9.416862291008476
5,2020-03-09,10.785871767273122
5,2020-03-10,12.644602657364608
5,2020-03-11,14.188108199995229
5,2020-03-12,11.069840173478335
5,2020-03-17,14.960469396113346
5,2020-03-20,13.784749143884012
5,2020-03-24,9.005178451471433
5,2020-03-27,14.210848110961956
5,2020-03-31,15.844882053384268
5,2020-09-28,17.945407771645808
5,2021-01-22,6.215911473753227
5,2021-01-26,4.705676224845578
5,2021-01-27,3.4618730597081595
5,2021-02-19,0.9437221247238292
5,2021-02-22,-1.6860708540796105
5,2021-02-23,-3.5374154499157124
5,2021-02-24,-5.014769186237965
5,2021-04-09,-0.8857251753276061
5,2021-08-23,8.110643110419694
5,2021-08-24,9.09669617240964
5,2021-10-27,16.283106116545603
5,2021-10-28,17.475013395295925
5,2021-10-29,18.61569825601549
5,2021-11-04,16.984690833788207
5,2021-12-09,13.180364023532572
5,2021-12-14,14.1008607358575
5,2021-12-15,16.939612925241516
5,2021-12-16,15.47780234823471
5,2022-01-21,8.069661902095659
5,2022-02-01,6.41204643411767
5,2022-02-11,8.352002262939749
5,2022-02-23,12.615128489802814
5,2022-03-01,13.47560650221699
5,2022-03-08,10.492889004656522
5,2022-04-29,18.061605894619195
5,2022-05-13,24.3385333219603
5,2022-06-15,25.52914643617058
5,2022-06-17,29.693317225928496
5,2022-06-27,33.24445087327972
5,2022-10-04,26.90636777826578
5,2022-10-26,28.390484414250082
5,2022-11-03,32.22052672706927
5,2022-11-22,27.4443151543641
5,2022-11-30,31.33457727005179
5,2023-02-28,14.925186765194491
5,2023-03-01,16.255265464816265
5,2023-03-10,17.62911537206145
5,2023-04-17,23.245953646328534
5,2023-06-01,29.80259950842586
5,2023-07-26,28.986909317611566
5,2023-07-28,31.058240524552428
5,2023-10-31,25.17064068762363
5,2023-11-03,25.54595821770646
5,2023-11-07,24.177212748403743
5,2023-11-08,23.101901050546434
5,2023-12-07,22.991226381821843
5,2023-12-13,24.084897217332486
5,2024-01-12,17.43768819189366
5,2024-01-19,15.158710322785002
5,2024-04-04,15.431046796175709
5,2024-05-02,17.298610723030023
5,2024-05-03,18.19606551377466
5,2024-07-11,21.705799269079467
5,2024-07-29,19.544941215385485
5,2024-08-02,22.476146208659674
5,2024-08-07,21.01937434968493
5,2024-10-02,17.37587208110137
5,2024-10-07,17.906229336603264
5,2024-10-24,15.770465667731571
5,2024-11-07,18.397903292797416
5,2024-12-16,13.705992031235189
5,2024-12-18,11.538565516526436
10,2010-03-24,13.0185880282804
10,2010-03-25,10.590066592549814
10,2010-05-07,19.164604089327373
10,2010-05-21,25.845341543590013
10,2010-05-24,28.769606970215314
10,2010-05-25,32.464820806548076
10,2010-06-16,28.39371764001316
10,2010-06-23,30.594711980569073
10,2010-07-01,36.494051466656266
10,2010-08-11,34.40992729977639
10,2010-08-12,37.12457928539544
10,2010-08-26,34.34973253325405
10,2010-08-31,30.928139769395614
10,2010-09-01,27.868954396744066
10,2010-09-02,25.32283247809118
10,2010-09-09,16.92091323073
10,2010-09-27,21.718879405539724
10,2010-12-08,18.12549590536741
10,2011-02-18,17.7739443311998
10,2011-02-23,13.254598133731669
10,2011-03-10,11.298939857495867
10,2011-03-11,8.24357913423925
10,2011-03-24,4.391340670859138
10,2011-03-25,7.005928693037257
10,2011-04-28,6.970932339390323
10,2011-04-29,9.602819944770314
10,2011-06-09,23.29871400098563
10,2011-06-15,26.034725521183127
10,2011-06-16,28.715492876445044
10,2011-08-04,16.79577168484067
10,2011-08-09,24.77767678525787
10,2011-09-20,33.9293611300878
10,2011-12-20,24.25652133491231
10,2012-01-25,25.731605814381325
10,2012-01-26,27.571407318469713
10,2012-01-27,29.41736302064064
10,2012-03-13,22.722115821245048
10,2012-03-14,20.20837810838255
10,2012-03-15,18.237760032123752
10,2012-06-04,27.224105619404597
10,2012-09-07,25.539620785919404
10,2012-09-10,26.421397551625688
10,2012-09-13,25.24128975212115
10,2012-09-14,23.196269881393476
10,2012-09-18,20.450981089957722
10,2012-09-19,18.913506259699567
10,2012-12-27,21.707759917574606
10,2012-12-31,20.330106542055034
10,2013-02-25,14.35326938482147
10,2013-02-26,15.533103364564067
10,2013-03-07,9.879798716007732
10,2013-03-12,10.59537848955862
10,2013-03-14,9.12719008039803
10,2013-04-15,11.798959940624288
10,2013-05-07,14.034989071207113
10,2013-05-09,17.27313921602772
10,2013-05-30,17.509706322898374
10,2013-06-06,23.534313737401014
10,2013-06-11,27.815114495002575
10,2013-06-12,30.359827166015243
10,2013-06-25,36.722658560152304
10,2013-07-03,29.199785655664726
10,2013-07-04,26.50156158484957
10,2013-09-17,24.514448022412253
10,2013-11-21,19.6945767585251
10,2013-12-06,23.162495968453
10,2013-12-13,23.232671078534977
10,2013-12-18,21.593368376509336
10,2013-12-19,20.23686779041012
10,2013-12-20,17.50313988013742
10,2014-01-15,17.974536403015662
10,2014-03-20,21.90430957303391
10,2014-04-24,17.54783455407483
10,2014-04-30,17.67328695264196
10,2014-05-15,20.665420928690676
10,2014-09-03,31.685314938182096
10,2014-09-26,32.601564617448425
10,2014-09-29,33.878269867459316
10,2014-09-30,34.64460460336688
10,2014-11-13,30.9931297058056
10,2014-11-17,29.90124505866529
10,2014-11-18,28.98355086589463
10,2014-12-24,25.158199818077303
10,2014-12-29,26.632275733954398
10,2015-02-03,22.43148689123876
10,2015-03-02,17.272443666687266
10,2015-03-03,16.360506023170256
10,2015-03-05,17.506442946477925
10,2015-03-20,15.612662669013394
10,2015-03-27,16.750453160895734
10,2015-03-30,18.162773542428027
10,2015-03-31,19.4969015971506
10,2015-08-27,24.00848530747675
10,2015-08-28,25.215477046384347
10,2015-09-28,25.577839434469702
10,2015-09-30,26.993999813570262
10,2015-10-01,27.958289721875982
10,2015-10-09,29.310433439895224
10,2015-11-16,27.87330667661695
10,2015-11-30,31.79686734195481
10,2015-12-01,32.85110788678521
10,2015-12-11,34.856602171979056
10,2016-01-06,35.19054026703595
10,2016-01-07,34.22337137155992
10,2016-04-14,28.97191571561032
10,2016-05-13,29.20279017745382
10,2016-05-24,32.92762144408031
10,2016-06-02,33.20871290926218
10,2016-11-01,37.29210738344854
10,2016-11-04,38.08655960778972
10,2016-11-10,39.51789702653826
10,2016-11-18,38.44474269248779
10,2016-11-21,37.75595829627159
10,2017-01-13,35.49962431123164
10,2017-01-18,32.75185950063771
10,2017-01-23,30.515787426291507
10,2017-02-08,28.93880109629453
10,2017-03-27,28.78588241322401
10,2017-04-20,29.070932535936862
10,2017-04-28,28.08536480720881
10,2017-05-10,26.38444891482239
10,2017-06-26,31.65968427650128
10,2017-06-27,33.0135140109182
10,2017-07-25,33.17054652640025
10,2017-09-21,34.20783609249143
10,2017-12-07,31.6331670191453
10,2017-12-13,30.484242316593257
10,2017-12-19,28.7381246864466
10,2018-01-10,24.202710276880374
10,2018-01-29,23.084480356717314
10,2018-01-30,22.023636963722513
10,2018-04-18,20.261503683043536
10,2018-04-19,19.121772388262738
10,2018-05-04,17.37648647795271
10,2018-05-25,21.88807628539199
10,2018-08-29,28.39715581901249
10,2018-10-04,25.382032873851777
10,2018-10-05,24.494781715309266
10,2018-11-21,24.15651842616214
10,2018-11-26,24.53705462889853
10,2018-12-04,27.748468060911975
10,2018-12-10,30.786772097442963
10,2018-12-18,28.8356932151744
10,2018-12-19,27.68250050692114
10,2019-02-21,19.632616645246838
10,2019-05-22,20.421000830648293
10,2019-05-23,21.293494300925946
10,2019-06-17,21.4607791692602
10,2019-06-26,22.735145843468146
10,2019-07-18,24.32191537223668
10,2019-08-01,26.024954360155174
10,2019-08-02,26.880112158579443
10,2019-08-08,25.38433674667009
10,2019-08-28,26.707023284421865
10,2019-11-07,27.609277014629708
10,2019-11-08,26.452105697229854
10,2019-11-12,27.854084116511224
10,2019-12-18,25.27540612564648
10,2019-12-20,23.893409767608183
10,2020-02-18,19.54976277498305
10,2020-02-19,18.79844879436
10,2020-02-28,23.63814404546465
10,2020-03-02,24.938794541462684
10,2020-03-06,27.422157432927193
10,2020-03-09,25.864098452512636
10,2020-03-11,30.52488895000382
10,2020-03-12,25.335094290833933
10,2020-03-13,31.280382884878183
10,2020-03-16,34.64022346495663
10,2020-03-18,29.88754013191635
10,2020-03-20,27.991139246813248
10,2020-03-24,20.93048940303136
10,2020-03-27,32.05939913578893
10,2020-06-18,28.494157482579936
10,2020-09-22,27.68485797280625
10,2020-10-09,30.5282319395202
10,2020-10-13,28.738357679823032
10,2020-12-18,23.753093066268974
10,2021-01-08,21.212509201846323
10,2021-01-12,20.282471621072006
10,2021-01-22,17.48616155857897
10,2021-01-25,16.427844773312486
10,2021-01-26,15.366450932144136
10,2021-01-27,14.103756199088018
10,2021-01-29,12.497415610152524
10,2021-02-12,8.909452370064683
10,2021-02-22,5.835553759542067
10,2021-02-23,4.371037314057385
10,2021-02-24,2.3122331530153692
10,2021-02-25,-0.3415372645224979
10,2021-04-09,0.8021213281009167
10,2021-06-17,6.310709163692831
10,2021-07-28,13.125093551059532
10,2021-07-29,11.134096663918351
10,2021-10-29,18.613357824467386
10,2021-11-01,16.49005124856417
10,2021-12-01,14.30679601905489
10,2021-12-02,15.527704696040951
10,2021-12-06,14.911381829637538
10,2021-12-20,17.485098297284193
10,2021-12-22,19.35271578076936
10,2021-12-29,16.646761297747684
10,2021-12-30,13.970820721578697
10,2022-01-27,14.671830477844287
10,2022-03-01,24.09642286802309
10,2022-03-07,23.373599017371507
10,2022-03-14,14.467760155443793
10,2022-05-03,22.311714353153576
10,2022-05-16,30.360303085320595
10,2022-06-13,26.672866778420232
10,2022-06-14,30.268058676531915
10,2022-06-27,27.748147207199906
10,2022-06-29,34.56419903308773
10,2022-06-30,30.506515256622016
10,2022-07-26,39.430677467718986
10,2022-10-04,29.35251637567752
10,2022-11-10,28.26411758313221
10,2022-11-16,34.349983916420456
10,2023-01-06,28.705980079106507
10,2023-02-15,21.660525219708486
10,2023-02-22,17.64191776051802
10,2023-03-06,19.73638944753761
10,2023-06-01,29.61428655116067
10,2023-06-02,31.196533342497126
10,2023-06-29,30.16737423706663
10,2023-07-10,33.19631984901123
10,2023-07-25,33.005155634153766
10,2023-07-27,34.03205470579591
10,2023-07-31,31.90480975353928
10,2023-09-06,29.70278570804508
10,2023-09-15,29.369812737171507
10,2023-09-21,25.89629596177317
10,2023-12-27,27.174356128068784
10,2024-03-04,16.694835284974495
10,2024-05-23,21.624903674130017
10,2024-05-27,22.430216881173894
10,2024-05-29,21.704066809629737
10,2024-06-03,24.21514165879209
10,2024-08-02,25.503998865199744
10,2024-10-09,19.001680296972374
10,2024-11-05,15.308130219643756
10,2024-11-07,17.227612248186084
10,2024-11-20,18.892565104406533
10,2024-12-04,15.956348436430009
10,2024-12-12,15.297632268149087
10,2024-12-16,12.938964316201332
10,2024-12-18,10.282249592540163
20,2010-03-24,25.8052578009529
20,2010-04-06,25.289059047109117
20,2010-05-07,26.124618574644813
20,2010-05-21,26.479011191075664
20,2010-05-27,26.291165249239008
20,2010-07-01,26.168663505106103
20,2010-09-01,23.96929876611538
20,2010-10-15,21.518926926226577
20,2010-11-03,20.29230142805881
20,2010-11-10,19.652735398033514
20,2010-11-16,20.23088506382731
20,2011-01-25,19.433958836789472
20,2011-03-18,18.127700767807745
20,2011-05-05,17.87551340501366
20,2011-05-23,18.286670941584774
20,2011-06-09,18.802361769223637
20,2011-06-10,18.977617561102864
20,2011-06-15,18.69701984867192
20,2011-06-23,18.556179914576852
20,2011-06-24,18.305558173747496
20,2011-07-11,17.71275388773286
20,2011-07-29,17.19343352217137
20,2011-08-04,17.41974245407887
20,2011-08-05,17.76013137225124
20,2011-08-17,17.460122278054165
20,2011-09-21,19.448764030681716
20,2011-11-22,18.403348245184667
20,2012-01-12,18.375238066233887
