date,tenor,arb,arb_w,m,m_w
2017-03-22,2,12.840331902885794,12.840331902885794,3.5892640623928393,3.589301042766559
2017-03-23,2,13.446094073419346,13.446094073419346,3.79549992502864,3.795533383462006
2017-03-24,2,13.489174971481589,13.489174971481589,3.4730016970822266,3.4730319689981286
2017-03-27,2,12.265407056817338,12.265407056817338,2.0350210412353107,2.035048430111603
2017-03-28,2,10.77857504919956,10.77857504919956,0.4959805542253868,0.49600533463727103
2017-03-29,2,9.916746504177183,9.916746504177183,-0.33100532500679947,-0.33098290463414237
2017-03-30,2,9.687228717858432,9.687228717858432,-0.5071399578659754,-0.5071196727669047
2017-03-31,2,10.047415840270787,10.047415840270787,-0.1329573273151805,-0.13293897413030642
2017-04-03,2,9.498642600438416,9.498642600438416,-0.6168038464668335,-0.616787241204328
2017-04-04,2,9.472736452305071,9.472736452305071,-0.5814995189239713,-0.5814844951150384
2017-04-05,2,10.288539993394963,10.288539993394963,0.21198935338821379,0.21200294635820072
2017-04-06,2,8.866586314491002,8.866586314491002,-1.094729627847581,-1.0947173294461638
2017-04-07,2,10.709152627375033,10.709152627375033,0.6766141436044073,0.6766252707294989
2017-04-10,2,10.187986767429265,10.187986767429265,0.1406436852149593,0.1406537526138525
2017-04-11,2,9.535220269536467,9.535220269536467,-0.46334921147042607,-0.46334010287142746
2017-04-12,2,8.78033423653335,8.78033423653335,-1.1022128402379678,-1.1022045991245886
2017-04-13,2,13.963165866233126,13.963165866233126,3.691988428560684,3.691995884806122
2017-04-17,2,4.661126399472266,4.661126399472266,-5.075760463133493,-5.075753717006668
2017-04-18,2,6.340754837850241,6.340754837850241,-3.0726908795407066,-3.0726847759021503
2017-04-19,2,5.357535408001553,5.357535408001553,-3.6696331370665956,-3.6696276147269487
2017-04-20,2,2.7938337683730623,2.7938337683730623,-5.639683845581269,-5.639678849178731
2017-04-21,2,9.294140603215425,9.294140603215425,0.7786588950457514,0.7786634156004286
2017-04-24,2,8.244620219337605,8.244620219337605,-0.2450651565623474,-0.24506106653668702
2017-04-25,2,7.4719196606953915,7.4719196606953915,-0.9208356470898416,-0.9208319465904342
2017-04-26,2,7.032180734025673,7.032180734025673,-1.230996042925316,-1.2309926948544234
2017-04-27,2,7.269943845102944,7.269943845102944,-0.8986393192910889,-0.8986362900840899
2017-04-28,2,5.841732353049082,5.841732353049082,-2.105245972169241,-2.1052432314581466
2017-05-01,2,7.664242273901493,7.664242273901493,-0.2558088083342742,-0.2558063286432839
2017-05-02,2,8.705011170830886,8.705011170830886,0.7102019849193928,0.7102042284493368
2017-05-03,2,7.199568036244671,7.199568036244671,-0.7195038973176011,-0.7195018674571756
2017-05-04,2,14.411961604154925,14.411961604154925,5.874519225774305,5.87452106231469
2017-05-05,2,11.230797037748971,11.230797037748971,2.43684469180946,2.436846353441238
2017-05-08,2,8.897375368499553,8.897375368499553,0.0935732108876568,0.09357471426879016
2017-05-09,2,9.306142220153475,9.306142220153475,0.45449815182333353,0.45449951202531125
2017-05-10,2,8.698957505255407,8.698957505255407,-0.13814498563904642,-0.13814375498011344
2017-05-11,2,7.276326917644582,7.276326917644582,-1.412130280559408,-1.4121291671060874
2017-05-12,2,9.690561279938066,9.690561279938066,0.9066655977594031,0.9066666051695496
2017-05-15,2,10.484251013251907,10.484251013251907,1.5384167281138872,1.53841763958021
2017-05-16,2,11.45909567844771,11.45909567844771,2.273903165375435,2.273903990035441
2017-05-17,2,11.406348132949617,11.406348132949617,2.0096169894128337,2.0096177355337907
2017-05-22,2,13.869514715876278,13.869514715876278,4.046804184497638,4.046804859559456
2017-05-23,2,13.54882201797247,13.54882201797247,3.3712437259658454,3.371244336736062
2017-05-24,2,15.802051235667136,15.802051235667136,5.088808853788082,5.088809406389707
2017-05-25,2,16.413683839564555,16.413683839564555,5.157542271239263,5.157542771212162
2017-05-26,2,18.412625804298273,18.412625804298273,6.474914308737459,6.47491476109389
2017-05-30,2,17.817082624631553,17.817082624631553,5.319431021540192,5.319431430815058
2017-05-31,2,16.670852298263924,16.670852298263924,3.7757530099180343,3.77575338021434
2017-06-01,2,16.20710691433436,16.20710691433436,2.996578328275282,2.9965786633052733
2017-06-02,2,16.297088707291067,16.297088707291067,2.79260201444799,2.7926023175703634
2017-06-05,2,15.51893811622574,15.51893811622574,1.822598906870029,1.8225991811236053
2017-06-06,2,15.156609224991058,15.156609224991058,1.3211966808129318,1.3211969289471206
2017-06-07,2,15.940553953606155,15.940553953606155,1.9046517513872647,1.9046519758896263
2017-06-08,2,18.59433241903963,18.59433241903963,4.124294005694956,4.12429420881614
2017-06-09,2,17.847817804659286,17.847817804659286,3.056086115951315,3.0560862997276246
2017-06-12,2,17.474734619133955,17.474734619133955,2.4274788418139845,2.427479008087788
2017-06-13,2,15.357680807213114,15.357680807213114,0.2808607413318924,0.28086089177009477
2017-06-14,2,14.294526608160652,14.294526608160652,-0.7077893188900397,-0.707789182779285
2017-06-15,2,21.315028697990186,21.315028697990186,5.711502030850019,5.711502153997845
2017-06-16,2,23.771151094709154,23.771151094709154,7.38975543446718,7.38975554588664
2017-06-19,2,24.91109136670613,24.91109136670613,7.717343734419952,7.717343835228036
2017-06-20,2,26.101393645827642,26.101393645827642,8.059298774156563,8.059298865363875
2017-06-21,2,24.48244351737071,24.48244351737071,5.826982108013954,5.826982190534853
2017-06-22,2,25.182231778551056,25.182231778551056,5.905173191175795,5.905173265837558
2017-06-23,2,24.849998929359373,24.849998929359373,5.042184118938007,5.0421841864891235
2017-06-26,2,26.465209906962883,26.465209906962883,6.023357468299466,6.023357529417144
2017-06-27,2,28.802216389307574,28.802216389307574,7.56413881248757,7.564138867784518
2017-06-28,2,31.32274554050963,31.32274554050963,9.124223395719184,9.124223445749756
2017-06-29,2,31.497416852850364,31.497416852850364,8.413285688244688,8.413285733510445
2017-06-30,2,31.79862779290721,31.79862779290721,7.884544568463294,7.884544609418025
2017-07-03,2,33.01497417006027,33.01497417006027,8.234139426986221,8.234139464040503
2017-07-05,2,32.09833837055419,32.09833837055419,6.62059852010108,6.62059855362638
2017-07-06,2,33.61496200092296,33.61496200092296,7.362248612329864,7.36224864266228
2017-07-07,2,34.146061356366005,34.146061356366005,7.14160054227073,7.141600569714342
2017-07-10,2,35.11195863427963,35.11195863427963,7.335355170642988,7.335355195472925
2017-07-11,2,33.26973911660815,33.26973911660815,4.96997987649803,4.96997989896321
2017-07-12,2,33.486541672007604,33.486541672007604,4.69280315266915,4.69280317299479
2017-07-13,2,33.8351986690233,33.8351986690233,4.5613210878101,4.561321106199962
2017-07-14,2,34.943119827575146,34.943119827575146,5.129314413375095,5.129314430013544
2017-07-17,2,36.32324905262996,36.32324905262996,5.88949662524611,5.889496640299942
2017-07-18,2,36.586360994741455,36.586360994741455,5.566645846656879,5.5666458602770135
2017-07-19,2,34.67643865947554,34.67643865947554,3.3084641293537267,3.308464141676705
2017-07-20,2,36.24437326162467,36.24437326162467,4.411979804693068,4.411979815842429
2017-07-21,2,35.91413636241825,35.91413636241825,3.693005485916487,3.6930054960040053
2017-07-24,2,35.0876789087784,35.0876789087784,2.5935434577741034,2.593543466900904
2017-07-25,2,35.1289342471195,35.1289342471195,2.383865577437568,2.3838655856951476
2017-07-26,2,35.83664848206601,35.83664848206601,2.797143639776067,2.7971436472472107
2017-07-27,2,36.54976268560927,36.54976268560927,3.175947572527008,3.175947579286614
2017-07-28,2,36.766062009729865,36.766062009729865,3.0691757636335453,3.0691757697493784
2017-07-31,2,37.18594283455002,37.18594283455002,3.1567654847914426,3.1567654903248155
2017-08-01,2,36.67502246414989,36.67502246414989,2.393859865401666,2.3938598704080505
